"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2017","2017",105.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2018","2018",109.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2019","2019",111.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2020","2020",114.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2021","2021",122.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2017","2017",102.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2018","2018",104.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2019","2019",106.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2020","2020",109.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2021","2021",111.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","BEL","Belgium","2017","2017",103.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","BEL","Belgium","2018","2018",105.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","BEL","Belgium","2019","2019",107.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","BEL","Belgium","2020","2020",108.9,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","BEL","Belgium","2021","2021",111.9,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CAN","Canada","2017","2017",103.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CAN","Canada","2018","2018",105,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CAN","Canada","2019","2019",106.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CAN","Canada","2020","2020",107.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CAN","Canada","2021","2021",116.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CZE","Czechia","2017","2017",102.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CZE","Czechia","2018","2018",105.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CZE","Czechia","2019","2019",109.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CZE","Czechia","2020","2020",113.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CZE","Czechia","2021","2021",117.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DNK","Denmark","2017","2017",101.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DNK","Denmark","2018","2018",102.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DNK","Denmark","2019","2019",103.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DNK","Denmark","2020","2020",106,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DNK","Denmark","2021","2021",108.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FIN","Finland","2017","2017",100.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FIN","Finland","2018","2018",102.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FIN","Finland","2019","2019",104.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FIN","Finland","2020","2020",106.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FIN","Finland","2021","2021",108.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FRA","France","2017","2017",101,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FRA","France","2018","2018",102,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FRA","France","2019","2019",103.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FRA","France","2020","2020",106.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FRA","France","2021","2021",107.6,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DEU","Germany","2017","2017",102.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DEU","Germany","2018","2018",104.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DEU","Germany","2019","2019",107.1,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DEU","Germany","2020","2020",109.1,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DEU","Germany","2021","2021",112.4,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","GRC","Greece","2017","2017",99.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","GRC","Greece","2018","2018",99.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","GRC","Greece","2019","2019",99.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","GRC","Greece","2020","2020",98.9,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","GRC","Greece","2021","2021",100.2,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","HUN","Hungary","2017","2017",105.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","HUN","Hungary","2018","2018",110.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","HUN","Hungary","2019","2019",115.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","HUN","Hungary","2020","2020",123.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","HUN","Hungary","2021","2021",131.1,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ISL","Iceland","2017","2017",103.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ISL","Iceland","2018","2018",105.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ISL","Iceland","2019","2019",110.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ISL","Iceland","2020","2020",115.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ISL","Iceland","2021","2021",122.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","IRL","Ireland","2017","2017",101.8,,
