"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",1672875.44,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2017","2017",457380,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2018","2018",465820,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2019","2019",466490,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2020","2020",474090,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2021","2021",493130,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2017","2017",621600,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2018","2018",633800,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2019","2019",647900,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2020","2020",657000,"P","Provisional value"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2021","2021",667600,"P","Provisional value"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CAN","Canada","2017","2017",2136670,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CAN","Canada","2018","2018",2188445,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CAN","Canada","2019","2019",2245005,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CAN","Canada","2020","2020",2206200,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CAN","Canada","2021","2021",2382040,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CZE","Czechia","2017","2017",344418,,
